Newfoundland,PEI,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,BC
0.00239973,0.007065938,0.005727604,0.002025044,0.003722672,0.005099736,0.005448352,0.00697202,0.003932624,0.007252003
0.002985354,0.008339201,0.006690791,0.002845351,0.005082204,0.006453433,0.006430117,0.008191625,0.005175256,0.008911461
0.003680503,0.009757883,0.007761174,0.003912167,0.006761247,0.008038199,0.007532154,0.009546487,0.006681893,0.010809901
0.004496746,0.011320442,0.008939693,0.005264726,0.008770037,0.009856799,0.008757082,0.011035158,0.008466334,0.012945028
0.005444668,0.013021103,0.010224988,0.006936125,0.011097497,0.01190183,0.010104917,0.012652441,0.010530282,0.015304556
0.006533239,0.014849395,0.01161309,0.008948646,0.013708059,0.014154393,0.011572642,0.014388989,0.012860714,0.017865057
0.007769122,0.016789832,0.013097167,0.011309018,0.016541104,0.016583472,0.013153824,0.016231019,0.015428181,0.020591359
0.00915596,0.018821774,0.01466734,0.014004247,0.019513508,0.01914617,0.014838318,0.018160183,0.018186369,0.023436625
0.010693666,0.020919503,0.016310584,0.01699869,0.022525261,0.021788888,0.016612074,0.020153616,0.021073174,0.026343212
0.012377772,0.023052539,0.018010744,0.020232982,0.025467545,0.024449432,0.01845708,0.022184184,0.024013326,0.029244341
0.014198872,0.025186208,0.019748657,0.023625247,0.028232185,0.02705992,0.020351464,0.024220941,0.026922415,0.032066526
0.016142215,0.027282453,0.021502406,0.027074739,0.030721086,0.029550275,0.022269752,0.026229807,0.029711982,0.034732674
0.018187492,0.029300878,0.023247696,0.030467718,0.032854286,0.031852018,0.024183314,0.028174425,0.032295156,0.037165653
0.020308855,0.031199991,0.024958355,0.033685025,0.034575525,0.033902026,0.026060975,0.030017211,0.034592263,0.039292113
0.022475199,0.032938582,0.026606942,0.036610535,0.035854721,0.035645914,0.027869792,0.031720524,0.036535802,0.041046262
0.024650729,0.034477196,0.028165454,0.03913952,0.036687333,0.037040782,0.029575959,0.033247921,0.038074313,0.042373351
0.026795804,0.035779609,0.029606094,0.041185965,0.037091082,0.038057079,0.031145833,0.03456545,0.039174762,0.043232568
0.02886804,0.03681424,0.030902091,0.042688029,0.037100896,0.0386795,0.032547009,0.035642891,0.039823328,0.043599151
0.030823652,0.037555426,0.032028515,0.043611122,0.03676306,0.038906891,0.033749423,0.036454912,0.040024646,0.04346555
0.032618951,0.037984477,0.032963077,0.043948434,0.036129509,0.038751257,0.034726414,0.036982056,0.039799727,0.04284157
0.034211951,0.03809046,0.033686857,0.043719081,0.035252958,0.038236044,0.035455706,0.037211516,0.039182946,0.041753508
0.035563998,0.037870661,0.034184942,0.042964333,0.03418327,0.037393918,0.035920248,0.037137651,0.038218501,0.04024237
0.036641326,0.037330702,0.034446939,0.041742565,0.032965172,0.036264268,0.036108877,0.036762218,0.036956754,0.038361348
0.037416457,0.036484302,0.034467331,0.040123638,0.03163719,0.034890686,0.036016762,0.036094302,0.035450811,0.036172756
0.037869373,0.035352695,0.034245675,0.038183356,0.030231521,0.033318588,0.035645609,0.035149951,0.033753595,0.033744669
0.037988369,0.033963748,0.033786614,0.035998521,0.028774541,0.031593145,0.035003613,0.033951534,0.031915555,0.031147525
0.037770563,0.032350821,0.033099718,0.033642917,0.027287637,0.029757607,0.034105154,0.03252686,0.029983044,0.028450892
0.037222004,0.030551434,0.032199151,0.031184376,0.025788136,0.027852046,0.032970265,0.03090811,0.027997349,0.025720617
0.0363574,0.028605827,0.031103185,0.02868291,0.024290163,0.025912518,0.031623883,0.029130624,0.025994243,0.023016481
0.035199458,0.026555472,0.029833584,0.026189783,0.022805377,0.023970597,0.030094936,0.02723163,0.024003964,0.020390451
0.033777898,0.024441628,0.028414889,0.023747331,0.021343519,0.022053222,0.028415311,0.025248961,0.022051481,0.017885558
0.032128183,0.022304005,0.026873626,0.02138932,0.019912812,0.02018277,0.026618739,0.023219823,0.020156927,0.01553539
0.030290056,0.020179582,0.025237492,0.019141637,0.018520237,0.01837731,0.02473968,0.021179677,0.018336117,0.013364127
0.02830596,0.018101647,0.02353453,0.017023164,0.017171705,0.016650947,0.022812231,0.019161269,0.016601083,0.011387038
0.026219425,0.016099064,0.021792352,0.015046707,0.015872171,0.015014234,0.020869122,0.017193855,0.014960584,0.009611336
0.024073516,0.014195797,0.020037419,0.013219902,0.014625713,0.013474589,0.018940833,0.015302621,0.013420567,0.008037264
0.021909407,0.012410678,0.018294408,0.011546066,0.013435581,0.012036714,0.017054864,0.013508323,0.011984578,0.006659329
0.019765151,0.010757414,0.016585694,0.010024966,0.012304246,0.010702988,0.015235183,0.011827139,0.010654126,0.005467568
0.017674692,0.009244785,0.014930953,0.008653495,0.011233444,0.009473825,0.013501852,0.010270701,0.009428997,0.004448774
0.015667133,0.007877028,0.013346881,0.007426284,0.010224224,0.008348004,0.011870838,0.008846311,0.00830753,0.003587623
0.013766292,0.006654333,0.011847052,0.006336225,0.009276994,0.007322966,0.010353995,0.00755728,0.007286875,0.002867668
0.011990521,0.00557344,0.010441884,0.00537494,0.008391581,0.006395074,0.008959203,0.006403385,0.00636321,0.002272159
0.010352772,0.00462827,0.009138719,0.004533191,0.007567282,0.005559856,0.007690632,0.005381385,0.005531953,0.001784702
0.008860878,0.003810576,0.007941993,0.003801226,0.006802924,0.004812207,0.006549112,0.004485578,0.004787944,0.001389749
0.007517999,0.003110565,0.006853482,0.003169085,0.006096925,0.004146583,0.005532571,0.003708362,0.004125613,0.001072938
0.006323203,0.002517471,0.0058726,0.002626851,0.005447355,0.003557159,0.004636524,0.00304078,0.003539136,0.000821299
0.005272122,0.002020069,0.004996741,0.002164855,0.004851993,0.003037975,0.003854567,0.002473013,0.003022564,0.000623354
0.004357639,0.001607106,0.004221632,0.001773839,0.004308382,0.002583055,0.003178872,0.00199483,0.002569943,0.000469129
0.003570578,0.001267651,0.003541692,0.001445079,0.003813887,0.002186514,0.002600649,0.001595964,0.00217541,0.000350097
0.002900357,0.00099136,0.002950381,0.001170473,0.003365743,0.001842639,0.002110564,0.00126642,0.001833279,0.00025908
0.002335576,0.000768669,0.002440517,0.000942591,0.002961105,0.001545959,0.001699107,0.000996711,0.001538104,0.000190125
0.001864535,0.000590914,0.002004574,0.000754705,0.002597085,0.001291294,0.001356892,0.000778032,0.001284733,0.000138362
0.001475655,0.000450387,0.001634929,0.000600792,0.002270796,0.001073797,0.001074903,0.000602368,0.00106834,9.99E-05
0.001157821,0.000340348,0.001324072,0.000475514,0.001979382,0.000888973,0.000844676,0.000462553,0.000884456,7.15E-05
0.000900625,0.000254999,0.001064781,0.000374192,0.001720048,0.000732698,0.000658422,0.000352287,0.000728975,5.07E-05
0.000694539,0.000189422,0.000850247,0.000292764,0.001490086,0.000601217,0.000509109,0.000266114,0.000598162,3.57E-05
